S_UNNR,N_LFDNR,S_VORSILBE,S_NAME,S_SPEZIFIKATION,S_KLASSE,S_KLASSIFIZIERUNGSCODE,S_VP_GRUPPE,S_KENN1,S_KENN2,S_KENN3,S_KENN4,SV_10,SV_11,S_BEGRENZTE_MENGEN,S_FREIGEST_MENGEN,S_ZUSAMMENPACKUNG1,S_ZUSAMMENPACKUNG2,S_TANK_CODE1,S_TANK_CODE2,S_TANKFAHRZEUG,S_BEFOERDERUNGSKATEGORIE,S_TUNNEL_CODE,S_GEFAHRNR,N_MULTIPLIKATOR,N_ERGAENZ_TECH,S_VERTRAEGL_GR,N_VERBOT,N_UNNR,N_SICHERUNG,S_MENGE_SICHERUNG_TANK,S_MENGE_SICHERUNG_LS,S_MENGE_SICHERUNG_VP,S_KENNZ_N
1286,4,,HARZÖL,(mit einem Flammpunkt unter 23 °C und viskos gemäß 2.2.3.1.4) (Dampfdruck bei 50 °C größer als 110 kPa),3.0,F1,III,3,,,,,,5 L,E1,MP19,,,,,3,E,,1.0,0.0,,1,1286,0.0,,,,
1286,5,,HARZÖL,(mit einem Flammpunkt unter 23 °C und viskos gemäß 2.2.3.1.4) (Dampfdruck bei 50 °C höchstens 110 kPa),3.0,F1,III,3,,,,,,5 L,E1,MP19,,,,,3,E,,1.0,0.0,,1,1286,0.0,,,,
1287,1,,GUMMILÖSUNG,(Dampfdruck bei 50 °C größer als 110 kPa),3.0,F1,II,3,,,,,,5 L,E2,MP19,,"L1,5BN",,FL,2,D/E,33,3.0,0.0,,1,1287,1.0,3000,a),b),
1287,2,,GUMMILÖSUNG,(Dampfdruck bei 50 °C höchstens 110 kPa),3.0,F1,II,3,,,,,,5 L,E2,MP19,,LGBF,,FL,2,D/E,33,3.0,0.0,,1,1287,1.0,3000,a),b),
1287,3,,GUMMILÖSUNG,,3.0,F1,III,3,,,,,,5 L,E1,MP19,,LGBF,,FL,3,D/E,30,1.0,0.0,,1,1287,0.0,,,,
1287,4,,GUMMILÖSUNG,(mit einem Flammpunkt unter 23 °C und viskos gemäß 2.2.3.1.4) (Dampfdruck bei 50 °C größer als 110 kPa),3.0,F1,III,3,,,,,,5 L,E1,MP19,,,,,3,E,,1.0,0.0,,1,1287,0.0,,,,
1287,5,,GUMMILÖSUNG,(mit einem Flammpunkt unter 23 °C und viskos gemäß 2.2.3.1.4) (Dampfdruck bei 50 °C höchstens 110 kPa),3.0,F1,III,3,,,,,,5 L,E1,MP19,,,,,3,E,,1.0,0.0,,1,1287,0.0,,,,
1288,1,,SCHIEFERÖL,,3.0,F1,II,3,,,,,,1 L,E2,MP19,,LGBF,,FL,2,D/E,33,3.0,0.0,,1,1288,1.0,3000,a),b),
1288,2,,SCHIEFERÖL,,3.0,F1,III,3,,,,,,5 L,E1,MP19,,LGBF,,FL,3,D/E,30,1.0,0.0,,1,1288,0.0,,,,
1289,1,,"NATRIUMMETHYLAT, LÖSUNG",in Alkohol,3.0,FC,II,3,8,,,,,1 L,E2,MP19,,L4BH,,FL,2,D/E,338,3.0,0.0,,1,1289,1.0,3000,a),b),-
1289,2,,"NATRIUMMETHYLAT, LÖSUNG",in Alkohol,3.0,FC,III,3,8,,,,,5 L,E1,MP19,,L4BN,,FL,3,D/E,38,1.0,0.0,,1,1289,0.0,,,,-
1292,1,,TETRAETHYLSILICAT,,3.0,F1,III,3,,,,,,5 L,E1,MP19,,LGBF,,FL,3,D/E,30,1.0,0.0,,1,1292,0.0,,,,-
1293,1,,"TINKTUREN, MEDIZINISCHE",,3.0,F1,II,3,,,,,,1 L,E2,MP19,,LGBF,,FL,2,D/E,33,3.0,0.0,,1,1293,1.0,3000,a),b),
1293,2,,"TINKTUREN, MEDIZINISCHE",,3.0,F1,III,3,,,,,,5 L,E1,MP19,,LGBF,,FL,3,D/E,30,1.0,0.0,,1,1293,0.0,,,,
1294,1,,TOLUEN,,3.0,F1,II,3,,,,,,1 L,E2,MP19,,LGBF,,FL,2,D/E,33,3.0,0.0,,1,1294,1.0,3000,a),b),-
1295,1,,TRICHLORSILAN,,4.3,WFC,I,4.3,3,8,,,,0,E0,MP2,,L10DH,,FL,0,B/E,X338,,0.0,,1,1295,1.0,3000,a),b),-
1296,1,,TRIETHYLAMIN,,3.0,FC,II,3,8,,,,,1 L,E2,MP19,,L4BH,,FL,2,D/E,338,3.0,0.0,,1,1296,1.0,3000,a),b),-
1297,1,,"TRIMETHYLAMIN, WÄSSERIGE LÖSUNG",mit höchstens 50 Masse-% Trimethylamin,3.0,FC,I,3,8,,,,,0,E0,MP7,MP17,L10CH,,FL,1,C/E,338,50.0,0.0,,1,1297,1.0,3000,a),b),-
1297,2,,"TRIMETHYLAMIN, WÄSSERIGE LÖSUNG",mit höchstens 50 Masse-% Trimethylamin,3.0,FC,II,3,8,,,,,1 L,E2,MP19,,L4BH,,FL,2,D/E,338,3.0,0.0,,1,1297,1.0,3000,a),b),-
1297,3,,"TRIMETHYLAMIN, WÄSSERIGE LÖSUNG",mit höchstens 50 Masse-% Trimethylamin,3.0,FC,III,3,8,,,,,5 L,E1,MP19,,L4BN,,FL,3,D/E,38,1.0,0.0,,1,1297,0.0,,,,-
1298,1,,TRIMETHYLCHLORSILAN,,3.0,FC,II,3,8,,,,,0,E0,MP19,,L4BH,,FL,2,D/E,X338,3.0,0.0,,1,1298,1.0,3000,a),b),
1299,1,,TERPENTIN,,3.0,F1,III,3,,,,,,5 L,E1,MP19,,LGBF,,FL,3,D/E,30,1.0,0.0,,1,1299,0.0,,,,+
1300,1,,TERPENTINÖLERSATZ,,3.0,F1,II,3,,,,,,1 L,E2,MP19,,LGBF,,FL,2,D/E,33,3.0,0.0,,1,1300,1.0,3000,a),b),
1300,2,,TERPENTINÖLERSATZ,,3.0,F1,III,3,,,,,,5 L,E1,MP19,,LGBF,,FL,3,D/E,30,1.0,0.0,,1,1300,0.0,,,,
1301,1,,"VINYLACETAT, STABILISIERT",,3.0,F1,II,3,,,,,,1 L,E2,MP19,,LGBF,,FL,2,D/E,339,3.0,0.0,,1,1301,1.0,3000,a),b),-
1302,1,,"VINYLETHYLETHER, STABILISIERT",,3.0,F1,I,3,,,,,,0,E3,MP7,MP17,L4BN,,FL,1,D/E,339,50.0,0.0,,1,1302,1.0,3000,a),b),
1303,1,,"VINYLIDENCHLORID, STABILISIERT",,3.0,F1,I,3,,,,,,0,E3,MP7,MP17,L4BN,,FL,1,D/E,339,50.0,0.0,,1,1303,1.0,3000,a),b),-
1304,1,,"VINYLISOBUTYLETHER, STABILISIERT",,3.0,F1,II,3,,,,,,1 L,E2,MP19,,LGBF,,FL,2,D/E,339,3.0,0.0,,1,1304,1.0,3000,a),b),
1305,1,,VINYLTRICHLORSILAN,,3.0,FC,II,3,8,,,,,0,E0,MP19,,L4BH,,FL,2,D/E,X338,3.0,0.0,,1,1305,1.0,3000,a),b),
1306,1,,"HOLZSCHUTZMITTEL, FLÜSSIG",(Dampfdruck bei 50 °C größer als 110 kPa),3.0,F1,II,3,,,,,,5 L,E2,MP19,,"L1,5BN",,FL,2,D/E,33,3.0,0.0,,1,1306,1.0,3000,a),b),
1306,2,,"HOLZSCHUTZMITTEL, FLÜSSIG",(Dampfdruck bei 50 °C höchstens 110 kPa),3.0,F1,II,3,,,,,,5 L,E2,MP19,,LGBF,,FL,2,D/E,33,3.0,0.0,,1,1306,1.0,3000,a),b),
1306,3,,"HOLZSCHUTZMITTEL, FLÜSSIG",,3.0,F1,III,3,,,,,,5 L,E1,MP19,,LGBF,,FL,3,D/E,30,1.0,0.0,,1,1306,0.0,,,,
1306,4,,"HOLZSCHUTZMITTEL, FLÜSSIG",(mit einem Flammpunkt unter 23 °C und viskos gemäß 2.2.3.1.4) (Dampfdruck bei 50 °C größer als 110 kPa),3.0,F1,III,3,,,,,,5 L,E1,MP19,,,,,3,E,,1.0,0.0,,1,1306,0.0,,,,
1306,5,,"HOLZSCHUTZMITTEL, FLÜSSIG",(mit einem Flammpunkt unter 23 °C und viskos gemäß 2.2.3.1.4) (Dampfdruck bei 50 °C höchstens 110 kPa),3.0,F1,III,3,,,,,,5 L,E1,MP19,,,,,3,E,,1.0,0.0,,1,1306,0.0,,,,
1307,1,,XYLENE,,3.0,F1,II,3,,,,,,1 L,E2,MP19,,LGBF,,FL,2,D/E,33,3.0,0.0,,1,1307,1.0,3000,a),b),-
1307,2,,XYLENE,,3.0,F1,III,3,,,,,,5 L,E1,MP19,,LGBF,,FL,3,D/E,30,1.0,0.0,,1,1307,0.0,,,,-
1308,1,,"ZIRKONIUM, SUSPENDIERT IN EINEM ENTZÜNDBAREN FLÜSSIGEN STOFF",,3.0,F1,I,3,,,,,,0,E0,MP7,MP17,L4BN,,FL,1,D/E,33,50.0,0.0,,1,1308,1.0,3000,a),b),-
1308,2,,"ZIRKONIUM, SUSPENDIERT IN EINEM ENTZÜNDBAREN FLÜSSIGEN STOFF",(Dampfdruck bei 50 °C größer als 110 kPa),3.0,F1,II,3,,,,,,1 L,E2,MP19,,"L1,5BN",,FL,2,D/E,33,3.0,0.0,,1,1308,1.0,3000,a),b),-
1308,3,,"ZIRKONIUM, SUSPENDIERT IN EINEM ENTZÜNDBAREN FLÜSSIGEN STOFF",(Dampfdruck bei 50 °C höchstens 110 kPa),3.0,F1,II,3,,,,,,1 L,E2,MP19,,LGBF,,FL,2,D/E,33,3.0,0.0,,1,1308,1.0,3000,a),b),-
1308,4,,"ZIRKONIUM, SUSPENDIERT IN EINEM ENTZÜNDBAREN FLÜSSIGEN STOFF",,3.0,F1,III,3,,,,,,5 L,E1,MP19,,LGBF,,FL,3,D/E,30,1.0,0.0,,1,1308,0.0,,,,-
1309,1,,"ALUMINIUM-PULVER, ÜBERZOGEN",,4.1,F3,II,4.1,,,,,,1 kg,E2,MP11,,SGAN,,AT,2,E,40,3.0,0.0,,1,1309,0.0,,,,-
1309,2,,"ALUMINIUM-PULVER, ÜBERZOGEN",,4.1,F3,III,4.1,,,,,,5 kg,E1,MP11,,SGAV,,AT,3,E,40,1.0,0.0,,1,1309,0.0,,,,-
1310,1,,"AMMONIUMPIKRAT, ANGEFEUCHTET",mit mindestens 10 Masse-% Wasser,4.1,D,I,4.1,,,,,,0,E0,MP2,,,,,1,B,,50.0,0.0,,1,1310,1.0,a),a),0,-
1312,1,,BORNEOL,,4.1,F1,III,4.1,,,,,,5 kg,E1,MP10,,SGAV,,AT,3,E,40,1.0,0.0,,1,1312,0.0,,,,
1313,1,,CALCIUMRESINAT,,4.1,F3,III,4.1,,,,,,5 kg,E1,MP11,,SGAV,,AT,3,E,40,1.0,0.0,,1,1313,0.0,,,,
1314,1,,"CALCIUMRESINAT, GESCHMOLZEN",und erstarrt,4.1,F3,III,4.1,,,,,,5 kg,E1,MP11,,SGAV,,AT,3,E,40,1.0,0.0,,1,1314,0.0,,,,
1318,1,,"COBALTRESINAT, GEFÄLLT",,4.1,F3,III,4.1,,,,,,5 kg,E1,MP11,,SGAV,,AT,3,E,40,1.0,0.0,,1,1318,0.0,,,,
1320,1,,"DINITROPHENOL, ANGEFEUCHTET",mit mindestens 15 Masse-% Wasser,4.1,DT,I,4.1,6.1,,,,,0,E0,MP2,,,,,1,B,,50.0,0.0,,1,1320,1.0,a),a),0,+
1321,1,,"DINITROPHENOLATE, ANGEFEUCHTET",mit mindestens 15 Masse-% Wasser,4.1,DT,I,4.1,6.1,,,,,0,E0,MP2,,,,,1,B,,50.0,0.0,,1,1321,1.0,a),a),0,+
1322,1,,"DINITRORESORCINOL, ANGEFEUCHTET",mit mindestens 15 Masse-% Wasser,4.1,D,I,4.1,,,,,,0,E0,MP2,,,,,1,B,,50.0,0.0,,1,1322,1.0,a),a),0,
1323,1,,CEREISEN,,4.1,F3,II,4.1,,,,,,1 kg,E2,MP11,,SGAN,,AT,2,E,40,3.0,0.0,,1,1323,0.0,,,,
1324,1,,FILME AUF NITROCELLULOSEBASIS,"gelatiniert, ausgenommen Abfälle",4.1,F1,III,4.1,,,,,,5 kg,E1,MP11,,,,,3,E,,1.0,0.0,,1,1324,0.0,,,,
1325,1,,"ENTZÜNDBARER ORGANISCHER FESTER STOFF, N.A.G.",,4.1,F1,II,4.1,,,,,,1 kg,E2,MP10,,SGAN,,AT,2,E,40,3.0,1.0,,1,1325,0.0,,,,
1325,2,,"ENTZÜNDBARER ORGANISCHER FESTER STOFF, N.A.G.",,4.1,F1,III,4.1,,,,,,5 kg,E1,MP10,,SGAV,,AT,3,E,40,1.0,1.0,,1,1325,0.0,,,,
1326,1,,"HAFNIUM-PULVER, ANGEFEUCHTET",mit mindestens 25 % Wasser,4.1,F3,II,4.1,,,,,,1 kg,E2,MP11,,SGAN,,AT,2,E,40,3.0,0.0,,1,1326,0.0,,,,
1327,1,,Heu oder Stroh oder Bhusa,,4.1,F1,,,,,,,,,,,,,,,,,,,,,2,1327,,,,,
1328,1,,HEXAMETHYLENTETRAMIN,,4.1,F1,III,4.1,,,,,,5 kg,E1,MP10,,SGAV,,AT,3,E,40,1.0,0.0,,1,1328,0.0,,,,-
1330,1,,MANGANRESINAT,,4.1,F3,III,4.1,,,,,,5 kg,E1,MP11,,SGAV,,AT,3,E,40,1.0,0.0,,1,1330,0.0,,,,
1331,1,,"ZÜNDHÖLZER, ÜBERALL ZÜNDBAR",,4.1,F1,III,4.1,,,,,,5 kg,E0,MP12,,,,,4,E,,0.0,0.0,,1,1331,0.0,,,,
1332,1,,METALDEHYD,,4.1,F1,III,4.1,,,,,,5 kg,E1,MP10,,SGAV,,AT,3,E,40,1.0,0.0,,1,1332,0.0,,,,
1333,1,,CER,"Platten, Barren, Stangen",4.1,F3,II,4.1,,,,,,1 kg,E2,MP11,,,,,2,E,,3.0,0.0,,1,1333,0.0,,,,-
1334,1,,"NAPHTHALEN, ROH",,4.1,F1,III,4.1,,,,,,5 kg,E1,MP10,,SGAV,,AT,3,E,40,1.0,0.0,,1,1334,0.0,,,,+
1334,2,,"NAPHTHALEN, RAFFINIERT",,4.1,F1,III,4.1,,,,,,5 kg,E1,MP10,,SGAV,,AT,3,E,40,1.0,0.0,,1,1334,0.0,,,,+
1336,1,,"NITROGUANIDIN, ANGEFEUCHTET",mit mindestens 20 Masse-% Wasser,4.1,D,I,4.1,,,,,,0,E0,MP2,,,,,1,B,,50.0,0.0,,1,1336,1.0,a),a),0,
1336,2,,"PICRIT, ANGEFEUCHTET",mit mindestens 20 Masse-% Wasser,4.1,D,I,4.1,,,,,,0,E0,MP2,,,,,1,B,,50.0,0.0,,1,1336,1.0,a),a),0,
1337,1,,"NITROSTÄRKE, ANGEFEUCHTET",mit mindestens 20 Masse-% Wasser,4.1,D,I,4.1,,,,,,0,E0,MP2,,,,,1,B,,50.0,0.0,,1,1337,1.0,a),a),0,
1338,1,,"PHOSPHOR, AMORPH",,4.1,F3,III,4.1,,,,,,5 kg,E1,MP11,,SGAV,,AT,3,E,40,1.0,0.0,,1,1338,0.0,,,,-
1339,1,,PHOSPHORHEPTASULFID,"(chemische Formel P4S7), frei von gelbem oder weißem Phosphor",4.1,F3,II,4.1,,,,,,1 kg,E2,MP11,,SGAN,,AT,2,E,40,3.0,0.0,,1,1339,0.0,,,,
1340,1,,PHOSPHORPENTASULFID,"(chemische Formel P2S5), frei von gelbem oder weißem Phosphor",4.3,WF2,II,4.3,4.1,,,,,500 g,E2,MP14,,SGAN,,AT,0,D/E,423,,0.0,,1,1340,0.0,,,,+
1341,1,,PHOSPHORSESQUISULFID,"(chemische Formel P4S3), frei von gelbem oder weißem Phosphor",4.1,F3,II,4.1,,,,,,1 kg,E2,MP11,,SGAN,,AT,2,E,40,3.0,0.0,,1,1341,0.0,,,,+
1343,1,,PHOSPHORTRISULFID,"(chemische Formel P4S6), frei von gelbem oder weißem Phosphor",4.1,F3,II,4.1,,,,,,1 kg,E2,MP11,,SGAN,,AT,2,E,40,3.0,0.0,,1,1343,0.0,,,,
1344,1,,"TRINITROPHENOL, ANGEFEUCHTET",mit mindestens 30 Masse-% Wasser,4.1,D,I,4.1,,,,,,0,E0,MP2,,,,,1,B,,50.0,0.0,,1,1344,1.0,a),a),0,-
1344,2,,"PIKRINSÄURE, ANGEFEUCHTET",mit mindestens 30 Masse-% Wasser,4.1,D,I,4.1,,,,,,0,E0,MP2,,,,,1,B,,50.0,0.0,,1,1344,1.0,a),a),0,-
1345,1,,KAUTSCHUK- (Gummi-) ABFÄLLE,höchstens 840 µm und mehr als 45 % Kautschuk-Gehalt,4.1,F1,II,4.1,,,,,,1 kg,E2,MP11,,SGAN,,AT,4,E,40,0.0,0.0,,1,1345,0.0,,,,
1345,2,,KAUTSCHUK- (Gummi-) RESTE,"pulverförmig oder granuliert, höchstens 840 µm und mehr als 45 % Kautschuk-Gehalt",4.1,F1,II,4.1,,,,,,1 kg,E2,MP11,,SGAN,,AT,4,E,40,0.0,0.0,,1,1345,0.0,,,,
1346,1,,"SILICIUM-PULVER, AMORPH",,4.1,F3,III,4.1,,,,,,5 kg,E1,MP11,,SGAV,,AT,3,E,40,1.0,0.0,,1,1346,0.0,,,,
1347,1,,"SILBERPIKRAT, ANGEFEUCHTET",mit mindestens 30 Masse-% Wasser,4.1,D,I,4.1,,,,,,0,E0,MP2,,,,,1,B,,50.0,0.0,,1,1347,1.0,a),a),0,-
1348,1,,"NATRIUMDINITROORTHOCRESOLAT, ANGEFEUCHTET",mit mindestens 15 Masse-% Wasser,4.1,DT,I,4.1,6.1,,,,,0,E0,MP2,,,,,1,B,,50.0,0.0,,1,1348,1.0,a),a),0,+
1349,1,,"NATRIUMPIKRAMAT, ANGEFEUCHTET",mit mindestens 20 Masse-% Wasser,4.1,D,I,4.1,,,,,,0,E0,MP2,,,,,1,B,,50.0,0.0,,1,1349,1.0,a),a),0,
1350,1,,SCHWEFEL,,4.1,F3,III,4.1,,,,,,5 kg,E1,MP11,,SGAV,,AT,3,E,40,1.0,0.0,,1,1350,0.0,,,,-
1352,1,,"TITAN-PULVER, ANGEFEUCHTET",mit mindestens 25 % Wasser,4.1,F3,II,4.1,,,,,,1 kg,E2,MP11,,SGAN,,AT,2,E,40,3.0,0.0,,1,1352,0.0,,,,
1353,1,,"FASERN, IMPRÄGNIERT MIT SCHWACH NITRIERTER CELLULOSE, N.A.G.",,4.1,F1,III,4.1,,,,,,5 kg,E1,MP11,,,,,3,E,,1.0,0.0,,1,1353,0.0,,,,
1353,2,,"GEWEBE, IMPRÄGNIERT MIT SCHWACH NITRIERTER CELLULOSE, N.A.G.",,4.1,F1,III,4.1,,,,,,5 kg,E1,MP11,,,,,3,E,,1.0,0.0,,1,1353,0.0,,,,
1354,1,,"TRINITROBENZEN, ANGEFEUCHTET",mit mindestens 30 Masse-% Wasser,4.1,D,I,4.1,,,,,,0,E0,MP2,,,,,1,B,,50.0,0.0,,1,1354,1.0,a),a),0,+
1355,1,,"TRINITROBENZOESÄURE, ANGEFEUCHTET",mit mindestens 30 Masse-% Wasser,4.1,D,I,4.1,,,,,,0,E0,MP2,,,,,1,B,,50.0,0.0,,1,1355,1.0,a),a),0,
1356,1,,"TRINITROTOLUEN, ANGEFEUCHTET",mit mindestens 30 Masse-% Wasser,4.1,D,I,4.1,,,,,,0,E0,MP2,,,,,1,B,,50.0,0.0,,1,1356,1.0,a),a),0,+
1356,2,,"TNT, ANGEFEUCHTET",mit mindestens 30 Masse-% Wasser,4.1,D,I,4.1,,,,,,0,E0,MP2,,,,,1,B,,50.0,0.0,,1,1356,1.0,a),a),0,+
1356,3,,,,4.1,D,I,4.1,,,,,,0,E0,MP2,,,,,1,B,,50.0,0.0,,1,1356,1.0,a),a),0,+
1357,1,,"HARNSTOFFNITRAT, ANGEFEUCHTET",mit mindestens 20 Masse-% Wasser,4.1,D,I,4.1,,,,,,0,E0,MP2,,,,,1,B,,50.0,0.0,,1,1357,1.0,a),a),0,
1358,1,,"ZIRKONIUM-PULVER, ANGEFEUCHTET",mit mindestens 25 % Wasser,4.1,F3,II,4.1,,,,,,1 kg,E2,MP11,,SGAN,,AT,2,E,40,3.0,0.0,,1,1358,0.0,,,,-
1360,1,,CALCIUMPHOSPHID,,4.3,WT2,I,4.3,6.1,,,,,0,E0,MP2,,,,,1,E,,50.0,0.0,,1,1360,1.0,a),a),b),+
1361,1,,KOHLE,tierischen oder pflanzlichen Ursprungs,4.2,S2,II,4.2,,,,,,0,E0,MP14,,SGAN,,AT,2,D/E,40,3.0,0.0,,1,1361,0.0,,,,
1361,2,,RUSS,tierischen oder pflanzlichen Ursprungs,4.2,S2,II,4.2,,,,,,0,E0,MP14,,SGAN,,AT,2,D/E,40,3.0,0.0,,1,1361,0.0,,,,
1361,3,,KOHLE,tierischen oder pflanzlichen Ursprungs,4.2,S2,III,4.2,,,,,,0,E0,MP14,,SGAV,,AT,4,E,40,0.0,0.0,,1,1361,0.0,,,,
1361,4,,RUSS,tierischen oder pflanzlichen Ursprungs,4.2,S2,III,4.2,,,,,,0,E0,MP14,,SGAV,,AT,4,E,40,0.0,0.0,,1,1361,0.0,,,,
1362,1,,"KOHLE, AKTIVIERT",,4.2,S2,III,4.2,,,,,,0,E1,MP14,,SGAV,,AT,4,E,40,0.0,0.0,,1,1362,0.0,,,,
1363,1,,KOPRA,,4.2,S2,III,4.2,,,,,,0,E0,MP14,,,,,3,E,40,1.0,0.0,,1,1363,0.0,,,,
1364,1,,"BAUMWOLLABFÄLLE, ÖLHALTIG",,4.2,S2,III,4.2,,,,,,0,E0,MP14,,,,,3,E,40,1.0,0.0,,1,1364,0.0,,,,
1365,1,,"BAUMWOLLE, NASS",,4.2,S2,III,4.2,,,,,,0,E0,MP14,,,,,3,E,40,1.0,0.0,,1,1365,0.0,,,,
1369,1,p-,NITROSODIMETHYLANILIN,,4.2,S2,II,4.2,,,,,,0,E2,MP14,,SGAN,,AT,2,D/E,40,3.0,0.0,,1,1369,0.0,,,,
1372,1,,"Fasern, tierischen Ursprungs oder Fasern, pflanzlichen Ursprungs, gebrannt, nass oder feucht",,4.2,S2,,,,,,,,,,,,,,,,,,,,,2,1372,,,,,
1373,1,,"FASERN, TIERISCHEN URSPRUNGS, N.A.G.",imprägniert mit Öl,4.2,S2,III,4.2,,,,,,0,E0,MP14,,,,AT,3,E,40,1.0,0.0,,1,1373,0.0,,,,
1373,2,,"FASERN, PFLANZLICHEN URSPRUNGS, N.A.G.",imprägniert mit Öl,4.2,S2,III,4.2,,,,,,0,E0,MP14,,,,AT,3,E,40,1.0,0.0,,1,1373,0.0,,,,
1373,3,,"FASERN, SYNTHETISCHEN URSPRUNGS, N.A.G.",imprägniert mit Öl,4.2,S2,III,4.2,,,,,,0,E0,MP14,,,,AT,3,E,40,1.0,0.0,,1,1373,0.0,,,,
1373,4,,"GEWEBE, TIERISCHEN URSPRUNGS, N.A.G.",imprägniert mit Öl,4.2,S2,III,4.2,,,,,,0,E0,MP14,,,,AT,3,E,40,1.0,0.0,,1,1373,0.0,,,,
1373,5,,"GEWEBE, PFLANZLICHEN URSPRUNGS, N.A.G.",imprägniert mit Öl,4.2,S2,III,4.2,,,,,,0,E0,MP14,,,,AT,3,E,40,1.0,0.0,,1,1373,0.0,,,,
1373,6,,"GEWEBE, SYNTHETISCHEN URSPRUNGS, N.A.G.",imprägniert mit Öl,4.2,S2,III,4.2,,,,,,0,E0,MP14,,,,AT,3,E,40,1.0,0.0,,1,1373,0.0,,,,
1374,1,,"FISCHMEHL, NICHT STABILISIERT",,4.2,S2,II,4.2,,,,,,0,E2,MP14,,,,AT,2,D/E,40,3.0,0.0,,1,1374,0.0,,,,
1374,2,,"FISCHABFALL, NICHT STABILISIERT",,4.2,S2,II,4.2,,,,,,0,E2,MP14,,,,AT,2,D/E,40,3.0,0.0,,1,1374,0.0,,,,
1376,1,,"EISENOXID, GEBRAUCHT",aus der Kokereigasreinigung,4.2,S4,III,4.2,,,,,,0,E0,MP14,,SGAV,,AT,3,E,40,1.0,0.0,,1,1376,0.0,,,,
1376,2,,"EISEN-SCHWAMM, GEBRAUCHT",aus der Kokereigasreinigung,4.2,S4,III,4.2,,,,,,0,E0,MP14,,SGAV,,AT,3,E,40,1.0,0.0,,1,1376,0.0,,,,
1378,1,,"METALLKATALYSATOR, ANGEFEUCHTET",mit einem sichtbaren Überschuss an Flüssigkeit,4.2,S4,II,4.2,,,,,,0,E0,MP14,,SGAN,,AT,2,D/E,40,3.0,1.0,,1,1378,0.0,,,,
1379,1,,"PAPIER, MIT UNGESÄTTIGTEN ÖLEN BEHANDELT",unvollständig getrocknet (auch Kohlepapier),4.2,S2,III,4.2,,,,,,0,E0,MP14,,,,,3,E,40,1.0,0.0,,1,1379,0.0,,,,
1380,1,,PENTABORAN,,4.2,ST3,I,4.2,6.1,,,,,0,E0,MP2,,L21DH,,AT,0,B/E,333,,0.0,,1,1380,1.0,3000,a),b),
1381,1,,"PHOSPHOR, WEISS, UNTER WASSER",,4.2,ST3,I,4.2,6.1,,,,,0,E0,MP2,,L10DH(+),,AT,0,B/E,46,,0.0,,1,1381,1.0,3000,a),b),+
1381,2,,"PHOSPHOR, GELB, UNTER WASSER",,4.2,ST3,I,4.2,6.1,,,,,0,E0,MP2,,L10DH(+),,AT,0,B/E,46,,0.0,,1,1381,1.0,3000,a),b),+
1381,3,,"PHOSPHOR, WEISS, IN LÖSUNG",,4.2,ST3,I,4.2,6.1,,,,,0,E0,MP2,,L10DH(+),,AT,0,B/E,46,,0.0,,1,1381,1.0,3000,a),b),+
1381,4,,"PHOSPHOR, GELB, IN LÖSUNG",,4.2,ST3,I,4.2,6.1,,,,,0,E0,MP2,,L10DH(+),,AT,0,B/E,46,,0.0,,1,1381,1.0,3000,a),b),+
1381,5,,"PHOSPHOR, WEISS, TROCKEN",,4.2,ST4,I,4.2,6.1,,,,,0,E0,MP2,,L10DH(+),,AT,0,B/E,46,,0.0,,1,1381,1.0,3000,a),b),+
1381,6,,"PHOSPHOR, GELB, TROCKEN",,4.2,ST4,I,4.2,6.1,,,,,0,E0,MP2,,L10DH(+),,AT,0,B/E,46,,0.0,,1,1381,1.0,3000,a),b),+
1382,1,,"KALIUMSULFID, WASSERFREI",,4.2,S4,II,4.2,,,,,,0,E2,MP14,,SGAN,,AT,2,D/E,40,3.0,0.0,,1,1382,0.0,,,,+
1382,2,,KALIUMSULFID,mit weniger als 30 % Kristallwasser,4.2,S4,II,4.2,,,,,,0,E2,MP14,,SGAN,,AT,2,D/E,40,3.0,0.0,,1,1382,0.0,,,,+
1383,1,,"PYROPHORES METALL, N.A.G.",,4.2,S4,I,4.2,,,,,,0,E0,MP13,,,,AT,0,B/E,43,,1.0,,1,1383,1.0,3000,a),b),
1383,2,,"PYROPHORE LEGIERUNG, N.A.G.",,4.2,S4,I,4.2,,,,,,0,E0,MP13,,,,AT,0,B/E,43,,1.0,,1,1383,1.0,3000,a),b),
1384,1,,NATRIUMDITHIONIT,,4.2,S4,II,4.2,,,,,,0,E2,MP14,,SGAN,,AT,2,D/E,40,3.0,0.0,,1,1384,0.0,,,,-
1384,2,,NATRIUMHYDROSULFIT,,4.2,S4,II,4.2,,,,,,0,E2,MP14,,SGAN,,AT,2,D/E,40,3.0,0.0,,1,1384,0.0,,,,-
1385,1,,"NATRIUMSULFID, WASSERFREI",,4.2,S4,II,4.2,,,,,,0,E2,MP14,,SGAN,,AT,2,D/E,40,3.0,0.0,,1,1385,0.0,,,,+
1385,2,,NATRIUMSULFID,mit weniger als 30 % Kristallwasser,4.2,S4,II,4.2,,,,,,0,E2,MP14,,SGAN,,AT,2,D/E,40,3.0,0.0,,1,1385,0.0,,,,+
